asin,text,title,location_and_date,verified,rating
B07QQFP6J5,"my favorite made flip flops, my other pair lasted over 3 years, heres hoping this pair does as well",repeat buyer,"Reviewed in the United States 🇺🇸 on March 20, 2023",True,4.0
B07QQFP6J5,"I was not sure about them at first bought 3 pairs, I wear them in my house as slippers. they are comfortable, not sure how they going to do in the washer but we will see.",comfortable,"Reviewed in the United States 🇺🇸 on February 2, 2023",True,4.0
B07QQFP6J5,Overall I like them I got asize 6 because they didn't come no smaller  but little big,I wear a size 5 in women's  just a little bit  big for my small feet,"Reviewed in the United States 🇺🇸 on February 9, 2023",True,4.0
B07QQFP6J5,The straps hurt the top of your feet.  Bottom is comfortable.,Nice comfort bottom. Straps not comfortable.,"Reviewed in the United States 🇺🇸 on March 14, 2023",True,3.0
B07QQFP6J5,"I have had feet problems for years, which usually means I'm stuck wearing an awful orthotic shoe instead of something cute. Finding sandals with arch support borders on miraculous! They're a little plain, but that makes them versatile. Only thing I don't like is that I didn't find them until the end of summer! Lol",Sandals with foot support!,"Reviewed in the United States 🇺🇸 on November 24, 2022",True,4.0
B07QQFP6J5,"I've been buying these shoes for years. I buy 2 pairs at a time every time, about 1x or 2x a year.I am autistic and I hate things on my feet. These shoes have been consistent in texture, time taken to break in, and quality for years now. They break more frequently than other people's might because I wear them almost 24/7. With normal use they'd probably last a couple of years.",Comfortable quality slip ons,"Reviewed in the United States 🇺🇸 on March 6, 2023",True,5.0
B07QQFP6J5,"Not for wide feet, no more comfortable than Walmart slides.",Not for wide feet,"Reviewed in the United States 🇺🇸 on March 11, 2023",True,3.0
B07QQFP6J5,I liked color of the shoes,they aren't as soft as other brands..,"Reviewed in the United States 🇺🇸 on March 13, 2023",True,3.0
B07QQFP6J5,They are very comfortable to wear on the deck after a long day of work.,Wife loves them,"Reviewed in the United States 🇺🇸 on March 17, 2023",True,5.0
B07QQFP6J5,"I ordered a half size too big because I'd rather have them loose then tight. Thr strap on top that goes between the toes is really tight and I have slender feet. I really had to work my feet in. My hope is that it loosens over time as the flip flops are broken in. The cushion is thinner then I thought it would be. Though it is comfortable right now, I don't expect it'll stay that way for long. But that doesn't mean it's a bad shoe. It'll just be worn down to be flat and hard like any other shoe instead of staying cushiony. The bottom of the shoe is also thin and made of a light foam. I thought it was going to be a heavier duty rubber. It's not a bad shoe but its not blowing me away either. For not much more I can go get a nice pair at the department store of much better quality. I'm disappointed but its not a bad shoe. Just mediocre and not really worth the price in my opinion. Will be returning.",A little thin a little tight,"Reviewed in the United States 🇺🇸 on May 19, 2022",True,3.0
B07QQFP6J5,I wear these type of slides because they are adjustable and have memory foam great price and quality,Very comfortable,"Reviewed in the United States 🇺🇸 on March 9, 2023",True,5.0
B07QQFP6J5,Great purchase. Super comfy!,Excellent buy,"Reviewed in the United States 🇺🇸 on March 17, 2023",True,5.0
B07QQFP6J5,"True color,accurate description size is on point",Exactly as described,"Reviewed in the United States 🇺🇸 on February 24, 2023",True,5.0
B07QQFP6J5,The flip flops broke and did not have a long time,Broke,"Reviewed in the United States 🇺🇸 on February 21, 2023",True,5.0
B07QQFP6J5,I think I'll go back to buying under armour brand as this were not made well.,cheaply made,"Reviewed in the United States 🇺🇸 on January 20, 2023",True,3.0
B07QQFP6J5,"Size 8 was too large for me. Straps were too loose. I like the shoe, pair I have now are completely worn out. I am returning the size 8 for a refund for now. I may just reorder this shoe but in a size 7.",Nice shoe just like I wanted but sz 8 was too big for me.,"Reviewed in the United States 🇺🇸 on October 9, 2022",True,4.0
B07QQFP6J5,Feel & size are not good,I don’t care for the feel & they are not true to size,"Reviewed in the United States 🇺🇸 on February 2, 2023",True,3.0
B07QQFP6J5,"It’s plenty long for its size but a bit too narrow and the strap is very loose.  The inner sole isn’t soft like memory foam.  It isn’t rock hard either, but the flip flops are  far less comfortable than the memory foam flip flops I bought a year ago at Walmart.",Not memory foam,"Reviewed in the United States 🇺🇸 on November 17, 2022",True,3.0
B07QQFP6J5,"I had a pair I had worn a long time & love them but they were starting to wear out.  I wear a 9 & thats what I bought previous time but so many of the reviews said to buy a size bigger, even though my gut said go with my usual size I bought a 10.  Lengthwise would have been ok but way to wide. I was able to return them with no problem & order my correct size.  I love the foam in the bed of the shoe and are so comfortable to walk in.  I live near the coast and wear flip flops everyday.  These have held up so well.  Other brand flip flops that were newer already broke apart.  I will buy these again the next time!",Love my Nortys,"Reviewed in the United States 🇺🇸 on September 19, 2022",True,5.0
B07QQFP6J5,They was a Little tight until I lose the front up. But they are very comfortable and memory foam in them. I say since I wear a size 10 I feel I should have gotten them a 10.5 r 11 so if my feet grows I don't grow out of them fast. But if u want them for excalty the Size of your shoe then they are amazing at being the exact size.,Extremely comfortable,"Reviewed in the United States 🇺🇸 on December 26, 2022",True,5.0
B07QQFP6J5,"I really like this sandal.  Its comfortable and the fabric works well to absorb any foot sweat.  Unfortunately, the strap between the toes becomes loose after a while. I've worn theser almost daily for 5 months, but now the straps is stretched out from the base and therefore, there is a tripping hazard.",The strap becomes loose after wearing it,"Reviewed in the United States on October 13, 2022",True,3.0
B07QQFP6J5,I love that these run a little on the small side. I usually struggle to find adult sized shoes to fit me I'm lucky if I can wear a women's 5 but these size 5's fit my perfectly. The foam was better than I expected as well. Definitely not as comfortable as say Nike or under armour however definitely can not complain. They are still comfortable and don't hurt my feet.,So much better than I expected!,"Reviewed in the United States on May 10, 2022",True,4.0
B07QQFP6J5,"These flip flops are comparable to the Airwalks, Nikes, Under Armor versions without the extra cost.  Very comfortable!  I love the colors!  :)",HAPPY FEET,"Reviewed in the United States on January 20, 2023",True,5.0
B07QQFP6J5,"Once I wore them a few times to stretch the strap, they are great",Good product for price,"Reviewed in the United States on October 3, 2022",True,4.0
